date	United States	China	Japan	Germany	United Kingdom	France	Brazil	Italy	India	Russia	Canada	Australia	Korea	Spain	Mexico	Indonesia	Netherlands	Turkey	Saudi Arabia	Switzerland	Nigeria	Sweden	Poland	Argentina	Belgium	Taiwan Province of China	Norway	Austria	Islamic Republic of Iran	Thailand	United Arab Emirates	Colombia	South Africa	Denmark	Malaysia	Singapore	Israel	Hong Kong SAR	Egypt	Philippines	Finland	Chile	Ireland	Pakistan	Greece	Portugal	Iraq	Kazakhstan	Algeria	Qatar
1/1/95	3.167666667	12.66033333	0.992333333	1.121	3.067	1.272333333	4.805666667	1.200333333	6.328	-8.5	3.299666667	3.931	8.541333333	1.714333333	0.406	7.905333333	2.26	3.258666667	0.297333333	0.564	3.541	2.051333333	5.418	3.080666667	1.55	6.932333333	4.018	1.865666667	-0.256	8.264	4.638	5.353	2.528	2.791	9.645666667	9.83	6.812	4.870333333	3.857333333	3.727666667	2.470666667	7.693	5.933666667	3.842666667	0.833333333	1.036333333		-9.993333333	0.282	0.831
1/1/96	3.517666667	11.327	1.805333333	1.733666667	3.074	1.939333333	3.980666667	1.925333333	7.261333333	-6.802666667	2.990666667	4.047	8.790666667	2.959333333	1.614333333	7.859333333	3.028666667	2.913666667	1.416666667	0.814	4.464666667	3.21	6.068666667	2.839333333	2.387666667	6.723333333	4.745666667	2.489333333	2.351333333	7.256333333	6.427666667	4.135	3.552333333	3.753333333	9.681	8.495	7.607333333	4.222666667	4.517	4.971	3.934666667	7.836666667	8.252	5.343333333	2.351666667	2.431		-6.76	2.249333333	2.730666667
1/1/97	3.667333333	10.03333333	2.049333333	1.525333333	2.583333333	1.936666667	3.331666667	1.82	6.391666667	-2.109	2.890333333	3.805666667	7.696	3.469333333	2.359666667	6.912666667	3.474333333	7.241666667	2.059333333	1.133	5.046666667	2.814	6.684333333	3.597666667	2.559666667	6.263	4.822333333	2.423666667	3.367333333	3.672666667	6.824333333	3.562666667	3.356666667	3.064	9.053	7.617	6.631	3.910666667	5.094	5.236666667	4.705666667	8.15	10.01333333	4.454666667	3.172666667	3.41		-2	2.916	12.262
1/1/98	4.244333333	8.977666667	0.734333333	1.512333333	2.910333333	2.427	1.977666667	1.58	5.928	-2.524	3.357	4.442666667	2.682	3.585	5.846666667	-0.203	4.13	5.875666667	2.937333333	1.915666667	6.018	2.881666667	6.102333333	5.829333333	2.433333333	5.499666667	4.312333333	2.721	3.260333333	-1.578666667	4.894666667	2.018666667	2.490333333	2.792333333	3.323333333	4.532666667	4.830333333	1.158333333	6.113666667	3.484666667	5.113	5.743333333	9.786666667	3.932	3.825333333	4.238333333		0.1	3.332666667	15.20166667
1/1/99	4.540666667	8.217666667	-0.202	1.841	3.071666667	3.1	1.411	1.671333333	6.232333333	0.795666667	4.462666667	4.424333333	3.92	4.359666667	4.777333333	-2.545333333	4.625333333	2.418333333	1.56	2.266666667	4.416	3.885666667	5.530666667	2.858666667	3.155	5.680333333	3.307333333	3.118333333	1.811	-1.938666667	4.365	-0.068	1.840666667	2.809333333	2.033	4.053666667	4.023666667	0.574666667	6.524	2.563333333	5.375	3.054666667	10.28433333	3.127	3.865	4.368666667		0.833333333	3.132666667	15.17133333
1/1/00	4.409	7.961333333	0.018333333	2.271666667	3.477	3.612666667	1.742666667	2.296	6.207333333	3.684	4.752666667	4.065333333	4.920666667	4.755666667	4.221666667	-2.452333333	4.608	2.167	2.317333333	2.873333333	5.217	4.497333333	4.588666667	-0.108	3.090666667	5.783	2.614	3.506	3.309666667	0.464666667	5.623666667	-0.236333333	2.343333333	2.972	2.481	4.256	5.643666667	1.429	6.345333333	2.305333333	5.169	2.342333333	9.968	3.861333333	3.699666667	4.156		3.533333333	4.032666667	7.843333333
1/1/01	3.251	8.117	0.804333333	2.294	3.195	3.078666667	2.050666667	2.348	5.794	7.162666667	3.936	3.301333333	8.252666667	4.600666667	2.452666667	3.137666667	3.807	-0.762666667	1.555	2.392666667	5.845333333	3.609333333	3.329666667	-2.861	2.73	3.959333333	2.434333333	2.769666667	3.413666667	4.157333333	5.976333333	0.133	3.082666667	2.506666667	5.106666667	4.680333333	4.307	3.577	5.005666667	3.462333333	4.22	2.367333333	8.941333333	3.353333333	3.592666667	3.206333333		8.666666667	3.333333333	5.403333333
1/1/02	2.284666667	8.604333333	0.967333333	1.684333333	2.962	2.315666667	2.911333333	1.911333333	4.275333333	6.627	3.204333333	3.219333333	6.960333333	3.979	1.607666667	4.373666667	2.158666667	2.413666667	1.847	1.901333333	7.211333333	2.790666667	2.302666667	-5.364333333	2.011	3.578666667	2.242666667	2.125	5.439	4.683	5.537	2.369	3.519333333	1.680333333	4.86	4.052666667	3.038666667	3.293666667	4.031	3.650333333	3.298666667	3.327	7.333	2.996	3.622	2.166666667		11.03333333	4.133333333	6.369333333
1/1/03	1.856333333	9.135666667	0.776666667	0.375333333	3.139	1.297333333	1.858	0.725666667	5.598333333	5.696	2.138333333	3.197333333	4.963333333	3.356666667	0.316666667	4.307333333	0.838666667	1.910666667	2.988	0.558333333	8.607333333	2.007666667	2.07	-2.155666667	1.124333333	2.812	1.481	1.254333333	6.37	5.594	4.361	2.7	3.117333333	0.559	3.899333333	2.565	0.450333333	1.758	3.301	3.836666667	2.085	2.966333333	5.204	3.269333333	4.512333333	0.592666667		10.86666667	5.266666667	4.933333333
1/1/04	2.792666667	9.730666667	1.445333333	-0.004666667	3.068666667	1.574666667	3.318666667	0.662333333	6.566666667	6.382666667	2.622	3.684666667	5.088333333	3.078666667	1.950333333	4.77	0.805333333	6.930666667	5.678666667	0.973666667	9.192666667	2.927	3.380333333	2.324	1.961	5.400666667	2.105666667	1.706	7.018333333	6.542333333	6.933666667	3.918333333	3.724	1.165666667	5.987666667	6.065333333	2.074333333	4.471	3.490333333	5.104666667	2.533333333	4.118	4.728	5.107	4.917333333	0.549		9.566666667	5.7	10.04033333
